trial_order	phase	task	list_id	item_id	pv_id	pv	condition	expected_response	stimulus_text	target_form	audio_file_name	notes
1	practice	aural_pv_ljt	A	practice_ljt_001		wake up	acceptable	acceptable	Mina woke up before the alarm.	woke up	rec_practice_ljt_001.wav	practice only; not in target set
2	practice	aural_pv_ljt	A	practice_ljt_002		wake up	unacceptable	unacceptable	Mina woke up before the alarm but stayed asleep until noon.	woke up	rec_practice_ljt_002.wav	practice only; not in target set
3	practice	aural_pv_ljt	A	practice_ljt_003		write down	acceptable	acceptable	Please write down the number before you forget it.	write down	rec_practice_ljt_003.wav	practice only; not in target set
4	practice	aural_pv_ljt	A	practice_ljt_004		write down	unacceptable	unacceptable	Please write down the number but do not write anything.	write down	rec_practice_ljt_004.wav	practice only; not in target set
5	practice	aural_pv_ljt	A	practice_ljt_005		give up	acceptable	acceptable	He gave up smoking last year.	gave up	rec_practice_ljt_005.wav	practice only; not in target set
6	practice	aural_pv_ljt	A	practice_ljt_006		give up	unacceptable	unacceptable	He gave up smoking last year but continued to smoke every day.	gave up	rec_practice_ljt_006.wav	practice only; not in target set
7	main	aural_pv_ljt	A	ljt_029a	pv_029	keep up	acceptable	acceptable	She kept up the good work all semester.	kept up	rec_ljt_v4_ljt_029a.wav	candidate for expert review; carried forward to v2; carried forward to v3
8	main	aural_pv_ljt	A	ljt_022b	pv_022	cut off	unacceptable	unacceptable	The host cut off the speaker after the answer was complete.	cut off	rec_ljt_v4_ljt_022b.wav	v4 pre-audio review: made speaker reference parallel and reduced guest ambiguity
9	main	aural_pv_ljt	A	ljt_047a	pv_047	lay out	acceptable	acceptable	The introduction laid out the plan for the paper.	laid out	rec_ljt_v4_ljt_047a.wav	candidate for expert review; carried forward to v2; carried forward to v3
10	main	aural_pv_ljt	A	ljt_016b	pv_016	take back	unacceptable	unacceptable	The party took back control, but its opponent still controlled the council.	took back	rec_ljt_v4_ljt_016b.wav	revised after expert review: replaced odd object with control contradiction; carried forward to v3
