pv_id	pv	v6_action	v6_pool_status	candidate_gate_status	acceptable_item_id	acceptable_sentence	unacceptable_item_id	unacceptable_sentence	acceptable_word_count	unacceptable_word_count	word_count_delta_unacceptable_minus_acceptable	acceptable_has_overt_cue	unacceptable_has_overt_cue	target_form_in_both	acceptable_naturalness_1_4	unacceptable_near_miss_1_4	pv_dependency_1_4	general_cue_risk_1_4	alternate_sense_risk_1_4	pair_rationale	critical_note
pv_001	break off	revise	active_candidate	prelim_pass_native_review_required	ljt_001a	The union broke off the talks.	ljt_001b	The union broke off the proposal.	6	6	0	false	false	true	4	3	3	2	2	Both objects belong to negotiation contexts; the unacceptable item targets the fact that break off selects talks or relations, not a proposal itself.	Use negotiation/relationship contexts; avoid object-category anomalies such as agenda.
pv_002	hand over	revise	active_candidate	prelim_pass_native_review_required	ljt_002a	The guard handed over the prisoner.	ljt_002b	The guard handed over the arrest.	6	6	0	false	false	true	4	3	3	2	2	Both objects are legal-domain nouns; the unacceptable item keeps the domain but uses an event noun that cannot be handed over as custody or control.	Use possession/control-transfer contexts with plausible entities; avoid non-transferable abstractions.
pv_008	move up	keep_revise_lightly	active_candidate	prelim_pass_native_review_required	ljt_008a	The team moved up to first place.	ljt_008b	The team moved up to last place.	7	7	0	false	false	true	4	4	4	1	1	Both outcomes are ranking positions; rejection depends on knowing that move up denotes upward rank movement.	Hierarchy/status contrast is locally tied to the PV and comparatively robust.
pv_009	get on	revise	active_candidate	prelim_pass_native_review_required	ljt_009a	The passengers got on the train.	ljt_009b	The passengers got on the station.	6	6	0	false	false	true	4	3	3	2	2	Both nouns are transport-domain nouns; only a vehicle-like noun is compatible with the boarding sense.	Transport sense is clear, but unacceptable item must remain in transport context rather than object category.
pv_011	stand out	revise	active_candidate	prelim_pass_native_review_required	ljt_011a	One essay stood out among submissions.	ljt_011b	One essay stood out among pages.	6	6	0	false	false	true	4	3	3	2	1	Both nouns are writing-domain nouns; the unacceptable item changes the comparison set from same-class submissions to document parts.	Use comparison among same-class candidates; avoid odd comparison sets.
pv_012	pull back	revise	active_candidate	prelim_pass_native_review_required	ljt_012a	Investors pulled back from the project.	ljt_012b	Investors pulled back from the approval.	6	6	0	false	false	true	4	3	3	2	2	Both complements are decision-domain nouns; the unacceptable item uses a state/result where an activity or commitment is expected.	Withdrawal sense can work if both conditions describe activities or commitments.
pv_013	run out	revise	active_candidate	prelim_pass_native_review_required	ljt_013a	The lab ran out of samples.	ljt_013b	The lab ran out of findings.	6	6	0	false	false	true	4	3	3	2	2	Both objects are research-domain nouns; samples can be depleted as supplies, whereas findings are not normally used up as a stock.	Depletion can be tested with countable resources; avoid impossible object categories.
pv_014	turn over	revise	active_candidate	prelim_pass_native_review_required	ljt_014a	The clerk turned over the records to police.	ljt_014b	The clerk turned over the permission to police.	8	8	0	false	false	true	4	3	3	2	2	Both objects are administrative/legal nouns; records can be surrendered to authorities, but permission is not an object surrendered in this frame.	Authority-transfer sense can work, but literal turning-over sense must be suppressed.
pv_015	put on	revise	active_candidate	prelim_pass_native_review_required	ljt_015a	The theater put on a musical.	ljt_015b	The theater put on a ticket.	6	6	0	false	false	true	4	3	3	2	2	Both objects belong to theater contexts; the unacceptable item uses a theater-related artifact rather than an event or performance.	Event-staging sense can work, but clothing/application senses are strong competitors.
pv_016	take back	revise	active_candidate	prelim_pass_native_review_required	ljt_016a	The team took back the lead.	ljt_016b	The team took back the loss.	6	6	0	false	false	true	4	3	3	2	2	Both nouns are sports-outcome nouns; lead can be regained, whereas loss is not normally regained by taking it back.	Use regain-control contexts; current acceptable sentence also needs rewriting.
pv_018	pay off	revise	active_candidate	prelim_pass_native_review_required	ljt_018a	The investment paid off quickly.	ljt_018b	The invoice paid off quickly.	5	5	0	false	false	true	4	3	3	2	2	Both subjects are finance-domain nouns; investment can yield a benefit, while invoice is not normally an intransitive source of payoff.	Outcome-benefit sense can work if effort/investment and result are controlled.
pv_019	get off	revise	active_candidate	prelim_pass_native_review_required	ljt_019a	The passengers got off the ferry.	ljt_019b	The passengers got off the terminal.	6	6	0	false	false	true	4	3	3	2	2	Both nouns are transport-domain nouns; only the vehicle-like noun supports the leave-a-vehicle sense.	Vehicle-leaving sense can work in travel contexts; avoid broad non-vehicle objects.
