trial_order	phase	task	list_id	item_id	pv_id	pv	condition	expected_response	stimulus_text	target_form	audio_file_name	notes
1	practice	aural_pv_ljt	B	practice_ljt_v5_001		wake up	acceptable	acceptable	Mina woke up before the alarm.	woke up	rec_practice_ljt_v5_001.wav	v5 practice only; no overt contrast cue
2	practice	aural_pv_ljt	B	practice_ljt_v5_002		wake up	unacceptable	unacceptable	Mina woke up before the pencil.	woke up	rec_practice_ljt_v5_002.wav	v5 practice only; no overt contrast cue
3	practice	aural_pv_ljt	B	practice_ljt_v5_003		turn off	acceptable	acceptable	Please turn off the lamp.	turn off	rec_practice_ljt_v5_003.wav	v5 practice only; no overt contrast cue
4	practice	aural_pv_ljt	B	practice_ljt_v5_004		turn off	unacceptable	unacceptable	Please turn off the sandwich.	turn off	rec_practice_ljt_v5_004.wav	v5 practice only; no overt contrast cue
5	practice	aural_pv_ljt	B	practice_ljt_v5_005		give up	acceptable	acceptable	He gave up smoking last year.	gave up	rec_practice_ljt_v5_005.wav	v5 practice only; no overt contrast cue
6	practice	aural_pv_ljt	B	practice_ljt_v5_006		give up	unacceptable	unacceptable	He gave up rainfall last year.	gave up	rec_practice_ljt_v5_006.wav	v5 practice only; no overt contrast cue
7	main	aural_pv_ljt	B	ljt_008a	pv_008	move up	acceptable	acceptable	She moved up to senior manager.	moved up	rec_ljt_v5_ljt_008a.wav	v5 production: short matched acceptable sentence; no overt contrast cue
8	main	aural_pv_ljt	B	ljt_045b	pv_045	sum up	unacceptable	unacceptable	The paragraph summed up the deadline.	summed up	rec_ljt_v5_ljt_045b.wav	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
9	main	aural_pv_ljt	B	ljt_001b	pv_001	break off	unacceptable	unacceptable	The committee broke off the agenda.	broke off	rec_ljt_v5_ljt_001b.wav	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
10	main	aural_pv_ljt	B	ljt_011b	pv_011	stand out	unacceptable	unacceptable	Her analysis stood out among deadlines.	stood out	rec_ljt_v5_ljt_011b.wav	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
11	main	aural_pv_ljt	B	ljt_015b	pv_015	put on	unacceptable	unacceptable	The school put on a textbook.	put on	rec_ljt_v5_ljt_015b.wav	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
12	main	aural_pv_ljt	B	ljt_031b	pv_031	turn around	unacceptable	unacceptable	The coach turned around the deadline.	turned around	rec_ljt_v5_ljt_031b.wav	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
13	main	aural_pv_ljt	B	ljt_034a	pv_034	take out	acceptable	acceptable	He took out a loan yesterday.	took out	rec_ljt_v5_ljt_034a.wav	v5 production: short matched acceptable sentence; no overt contrast cue
14	main	aural_pv_ljt	B	ljt_037b	pv_037	go down	unacceptable	unacceptable	The advice went down sharply.	went down	rec_ljt_v5_ljt_037b.wav	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
15	main	aural_pv_ljt	B	ljt_010a	pv_010	come along	acceptable	acceptable	A rare chance came along today.	came along	rec_ljt_v5_ljt_010a.wav	v5 production: short matched acceptable sentence; no overt contrast cue
16	main	aural_pv_ljt	B	ljt_039b	pv_039	come in	unacceptable	unacceptable	Experts came in during deadline.	came in	rec_ljt_v5_ljt_039b.wav	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
17	main	aural_pv_ljt	B	ljt_020a	pv_020	turn up	acceptable	acceptable	He turned up at the meeting.	turned up	rec_ljt_v5_ljt_020a.wav	v5 production: short matched acceptable sentence; no overt contrast cue
18	main	aural_pv_ljt	B	ljt_004a	pv_004	put in	acceptable	acceptable	She put in steady effort yesterday.	put in	rec_ljt_v5_ljt_004a.wav	v5 production: short matched acceptable sentence; no overt contrast cue
19	main	aural_pv_ljt	B	ljt_029b	pv_029	keep up	unacceptable	unacceptable	She kept up the heavy claim.	kept up	rec_ljt_v5_ljt_029b.wav	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
20	main	aural_pv_ljt	B	ljt_024a	pv_024	put out	acceptable	acceptable	Police put out a warning.	put out	rec_ljt_v5_ljt_024a.wav	v5 production: short matched acceptable sentence; no overt contrast cue
21	main	aural_pv_ljt	B	ljt_012a	pv_012	pull back	acceptable	acceptable	The company pulled back from investment.	pulled back	rec_ljt_v5_ljt_012a.wav	v5 production: short matched acceptable sentence; no overt contrast cue
22	main	aural_pv_ljt	B	ljt_003b	pv_003	give out	unacceptable	unacceptable	The old answer gave out suddenly.	gave out	rec_ljt_v5_ljt_003b.wav	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
23	main	aural_pv_ljt	B	ljt_016a	pv_016	take back	acceptable	acceptable	The party took back the council.	took back	rec_ljt_v5_ljt_016a.wav	v5 production: short matched acceptable sentence; no overt contrast cue
24	main	aural_pv_ljt	B	ljt_013b	pv_013	run out	unacceptable	unacceptable	The office ran out of agenda.	ran out	rec_ljt_v5_ljt_013b.wav	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
25	main	aural_pv_ljt	B	ljt_047b	pv_047	lay out	unacceptable	unacceptable	The chart laid out the spoon.	laid out	rec_ljt_v5_ljt_047b.wav	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
26	main	aural_pv_ljt	B	ljt_005b	pv_005	take in	unacceptable	unacceptable	The doorway was hard to take in.	take in	rec_ljt_v5_ljt_005b.wav	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
