ljt_item_id	pv_id	pv	condition	expected_response	target_form	sentence_text	intended_sense	mismatch_type	source_material	notes
ljt_001a	pv_001	break off	acceptable	acceptable	broke off	The committee broke off the negotiations.	end talks or a relationship	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
ljt_001b	pv_001	break off	unacceptable	unacceptable	broke off	The committee broke off the agenda.	end talks or a relationship	selectional_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
ljt_002a	pv_002	hand over	acceptable	acceptable	handed over	The officer handed over the documents.	give control or possession to someone	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
ljt_002b	pv_002	hand over	unacceptable	unacceptable	handed over	The officer handed over the deadline.	give control or possession to someone	selectional_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
ljt_003a	pv_003	give out	acceptable	acceptable	gave out	The old engine gave out suddenly.	stop working properly	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
ljt_003b	pv_003	give out	unacceptable	unacceptable	gave out	The old answer gave out suddenly.	stop working properly	subject_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
ljt_004a	pv_004	put in	acceptable	acceptable	put in	She put in steady effort yesterday.	devote time or effort	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
ljt_004b	pv_004	put in	unacceptable	unacceptable	put in	She put in steady evidence yesterday.	devote time or effort	object_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
ljt_005a	pv_005	take in	acceptable	acceptable	take in	The lecture was hard to take in.	understand fully	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
ljt_005b	pv_005	take in	unacceptable	unacceptable	take in	The doorway was hard to take in.	understand fully	object_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
ljt_006a	pv_006	sit back	acceptable	acceptable	sat back	The mayor sat back during the crisis.	take no action	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
ljt_006b	pv_006	sit back	unacceptable	unacceptable	sat back	The mayor sat back during the sprint.	take no action	context_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
ljt_007a	pv_007	hold back	acceptable	acceptable	held back	Poor training held back the players.	prevent progress or potential	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
ljt_007b	pv_007	hold back	unacceptable	unacceptable	held back	Extra support held back the players.	prevent progress or potential	cause_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
ljt_008a	pv_008	move up	acceptable	acceptable	moved up	She moved up to senior manager.	advance to a higher position	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
ljt_008b	pv_008	move up	unacceptable	unacceptable	moved up	She moved up to junior assistant.	advance to a higher position	hierarchy_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
ljt_009a	pv_009	get on	acceptable	acceptable	got on	The tourists got on the bus.	board a vehicle	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
ljt_009b	pv_009	get on	unacceptable	unacceptable	got on	The tourists got on the lecture.	board a vehicle	object_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
ljt_010a	pv_010	come along	acceptable	acceptable	came along	A rare chance came along today.	appear or arrive	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
ljt_010b	pv_010	come along	unacceptable	unacceptable	came along	A rare schedule came along today.	appear or arrive	subject_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
ljt_011a	pv_011	stand out	acceptable	acceptable	stood out	Her analysis stood out among reports.	be noticeable or impressive	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
ljt_011b	pv_011	stand out	unacceptable	unacceptable	stood out	Her analysis stood out among deadlines.	be noticeable or impressive	comparison_set_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
ljt_012a	pv_012	pull back	acceptable	acceptable	pulled back	The company pulled back from investment.	withdraw from an activity	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
ljt_012b	pv_012	pull back	unacceptable	unacceptable	pulled back	The company pulled back from approval.	withdraw from an activity	object_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
ljt_013a	pv_013	run out	acceptable	acceptable	ran out	The office ran out of paper.	use all of something	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
ljt_013b	pv_013	run out	unacceptable	unacceptable	ran out	The office ran out of agenda.	use all of something	object_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
ljt_014a	pv_014	turn over	acceptable	acceptable	turned over	The officer turned over the files.	give control or possession to an authority	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
ljt_014b	pv_014	turn over	unacceptable	unacceptable	turned over	The officer turned over the deadline.	give control or possession to an authority	object_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
ljt_015a	pv_015	put on	acceptable	acceptable	put on	The school put on a concert.	present or stage an event	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
ljt_015b	pv_015	put on	unacceptable	unacceptable	put on	The school put on a textbook.	present or stage an event	event_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
ljt_016a	pv_016	take back	acceptable	acceptable	took back	The party took back the council.	regain control or possession	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
ljt_016b	pv_016	take back	unacceptable	unacceptable	took back	The party took back the outcome.	regain control or possession	object_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
ljt_017a	pv_017	make out	acceptable	acceptable	make out	I could barely make out the sign outside.	see or hear with difficulty	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
ljt_017b	pv_017	make out	unacceptable	unacceptable	make out	I could barely make out the flavor outside.	see or hear with difficulty	object_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
ljt_018a	pv_018	pay off	acceptable	acceptable	paid off	The hard work paid off eventually.	become successful or beneficial	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
ljt_018b	pv_018	pay off	unacceptable	unacceptable	paid off	The hard weather paid off eventually.	become successful or beneficial	subject_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
ljt_019a	pv_019	get off	acceptable	acceptable	got off	The children got off the train.	leave a vehicle	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
