priority	pv_id	pv	acceptable_item_id	unacceptable_item_id	full_sentence_sbert_cosine	context_without_pv_sbert_cosine	pll_mean_delta_acc_minus_unacc	target_fit_mean_delta_acc_minus_unacc	bert_flags	expert_flag	reason	recommendation	acceptable_sentence	unacceptable_sentence
medium	pv_042	carry out	ljt_042a	ljt_042b	0.6430092453956604	0.7249487042427063	-0.6578488669125364	-0.2965860366821289	low_full_sentence_similarity;target_fit_not_higher_for_acceptable	yes	expert-review flag: task_completion_contradiction; masked-LM target-fit direction is not as expected; interpret cautiously	send to expert review before audio recording	The researchers carried out the survey in three schools.	The researchers carried out the survey in three schools but never collected any data.
medium	pv_047	lay out	ljt_047a	ljt_047b	0.5587180256843567	0.7472803592681885	0.07710339737435179	1.7113933563232422	low_full_sentence_similarity	yes	expert-review flag: presentation_contradiction	send to expert review before audio recording	The introduction laid out the plan for the paper.	The introduction laid out the plan for the paper but never described the plan.
medium	pv_034	take out	ljt_034a	ljt_034b	0.6230675578117371	0.7680728435516357	0.06875325510310082	-2.9607555866241455	low_full_sentence_similarity;target_fit_not_higher_for_acceptable	no	full-sentence SBERT similarity is relatively low; masked-LM target-fit direction is not as expected; interpret cautiously	inspect manually; BERT-only issue may not require revision	He took out a loan to pay for the course.	He took out a loan but borrowed no money.
medium	pv_023	bring in	ljt_023a	ljt_023b	0.5573458075523376	0.7701799273490906	0.5127542803030727	-2.05768084526062	low_full_sentence_similarity;target_fit_not_higher_for_acceptable	no	full-sentence SBERT similarity is relatively low; masked-LM target-fit direction is not as expected; interpret cautiously	inspect manually; BERT-only issue may not require revision	The firm brought in an expert to solve the problem.	The firm brought in an expert, but no expert joined the project.
medium	pv_006	sit back	ljt_006a	ljt_006b	0.7366083860397339	0.7727158665657043	0.28656503092497587	3.6238702535629272	target_fit_gap_extreme	no	BERT target-fit gap is unusually large	check whether the unacceptable sentence is too easy	The mayor sat back while the problem grew.	The mayor sat back while he personally led the response.
medium	pv_015	put on	ljt_015a	ljt_015b	0.5625729560852051	0.7772185802459717	-0.6749981901100413	-0.09431004524230957	low_full_sentence_similarity;target_fit_not_higher_for_acceptable	no	full-sentence SBERT similarity is relatively low; masked-LM target-fit direction is not as expected; interpret cautiously	inspect manually; BERT-only issue may not require revision	The school put on a play for the visitors.	The school put on a play but never performed it.
medium	pv_048	work out	ljt_048a	ljt_048b	0.6304993629455566	0.7961892485618591	-0.5287063924802675	-2.137167453765869	low_full_sentence_similarity;target_fit_not_higher_for_acceptable	yes	expert-review flag: solution_process_contradiction; masked-LM target-fit direction is not as expected; interpret cautiously	send to expert review before audio recording	The students worked out the answer after class.	The students worked out the answer but never tried to solve it.
medium	pv_010	come along	ljt_010a	ljt_010b	0.6969944834709167	0.813737154006958	-1.11832568755919	-1.4824717044830322	target_fit_not_higher_for_acceptable	yes	expert-review flag: semantic_contradiction_strength; masked-LM target-fit direction is not as expected; interpret cautiously	send to expert review before audio recording	A better chance came along during the project.	A better chance came along, although nothing new appeared.
medium	pv_022	cut off	ljt_022a	ljt_022b	0.805374264717102	0.8206344842910767	1.6611573004283855	-1.5764594078063965	unacceptable_much_less_natural;target_fit_not_higher_for_acceptable	yes	expert-review flag: temporal_mismatch; masked-LM target-fit direction is not as expected; interpret cautiously	send to expert review before audio recording	The host cut off the speaker mid-sentence.	The host cut off the speaker after the answer was complete.
medium	pv_017	make out	ljt_017a	ljt_017b	0.7397807836532593	0.8416200280189514	-0.07871948994633948	0.13212156295776367	none	yes	expert-review flag: clarity_contradiction	send to expert review before audio recording	I could barely make out the sign in the dark.	I could barely make out the sign, although it was clear and easy to read.
medium	pv_038	come on	ljt_038a	ljt_038b	0.618789792060852	0.8812935948371887	0.32404354170721494	-0.28835439682006836	low_full_sentence_similarity;target_fit_not_higher_for_acceptable	yes	expert-review flag: prosody_sensitive; masked-LM target-fit direction is not as expected; interpret cautiously	send to expert review before audio recording	Oh, come on, that cannot be true.	Oh, come on, that is exactly right.
low	pv_009	get on	ljt_009a	ljt_009b	0.6762694716453552	0.7050217986106873	-1.1238203342521695	-0.8787723183631897	target_fit_not_higher_for_acceptable	no	masked-LM target-fit direction is not as expected; interpret cautiously	inspect manually; BERT-only issue may not require revision	The tourists got on the bus near the station.	The tourists got on the bus, but they stayed on the sidewalk.
low	pv_028	reach out	ljt_028a	ljt_028b	0.6617202162742615	0.7102975845336914	0.5409609229407373	-0.20976710319519043	target_fit_not_higher_for_acceptable	no	masked-LM target-fit direction is not as expected; interpret cautiously	inspect manually; BERT-only issue may not require revision	The manager reached out after the complaint.	The manager reached out by ignoring every message.
low	pv_029	keep up	ljt_029a	ljt_029b	0.7132495641708374	0.7683558464050293	0.4769677335085971	-0.3228433132171631	target_fit_not_higher_for_acceptable	no	masked-LM target-fit direction is not as expected; interpret cautiously	inspect manually; BERT-only issue may not require revision	She kept up the good work all semester.	She kept up the good work by stopping after one day.
low	pv_011	stand out	ljt_011a	ljt_011b	0.6747649312019348	0.8059760332107544	0.03571496823699105	-2.9438254833221436	target_fit_not_higher_for_acceptable	no	masked-LM target-fit direction is not as expected; interpret cautiously	inspect manually; BERT-only issue may not require revision	Her clear answer stood out in the interview.	Her ordinary answer stood out as exactly like all the others.
low	pv_004	put in	ljt_004a	ljt_004b	0.7625054717063904	0.8196409344673157	-0.8897144097524385	-0.40661001205444336	target_fit_not_higher_for_acceptable	no	masked-LM target-fit direction is not as expected; interpret cautiously	inspect manually; BERT-only issue may not require revision	She put in three hours on the report before the meeting.	She put in three hours on the report but spent no time on it.
low	pv_014	turn over	ljt_014a	ljt_014b	0.8547805547714233	0.821975588798523	-0.5918898915488493	-0.33562326431274414	target_fit_not_higher_for_acceptable	no	masked-LM target-fit direction is not as expected; interpret cautiously	inspect manually; BERT-only issue may not require revision	The officer turned over the files to the court.	The officer turned over the files to the court but kept them locked in his desk.
low	pv_044	point out	ljt_044a	ljt_044b	0.7347358465194702	0.829480767250061	-0.7099227587607775	-0.8045740127563477	target_fit_not_higher_for_acceptable	no	masked-LM target-fit direction is not as expected; interpret cautiously	inspect manually; BERT-only issue may not require revision	The teacher pointed out the error in the essay.	The teacher pointed out the error but never mentioned it.
low	pv_033	look out	ljt_033a	ljt_033b	0.734651505947113	0.8331339955329895	0.5423535690642893	-0.22041156888008118	target_fit_not_higher_for_acceptable	no	masked-LM target-fit direction is not as expected; interpret cautiously	inspect manually; BERT-only issue may not require revision	She looked out at the garden.	She looked out at the garden from a room with no window.
low	pv_041	bring about	ljt_041a	ljt_041b	0.7428164482116699	0.8478370308876038	-0.12614827416837215	-0.978553295135498	target_fit_not_higher_for_acceptable	no	masked-LM target-fit direction is not as expected; interpret cautiously	inspect manually; BERT-only issue may not require revision	The reforms brought about major changes.	The reforms brought about major changes, but nothing changed.
low	pv_001	break off	ljt_001a	ljt_001b	0.9047507047653198	0.8569209575653076	0.13457136652464707	-1.1637517213821411	target_fit_not_higher_for_acceptable	no	masked-LM target-fit direction is not as expected; interpret cautiously	inspect manually; BERT-only issue may not require revision	After weeks of argument, the union broke off the talks.	After weeks of argument, the union broke off the talks but kept negotiating without a pause.
low	pv_024	put out	ljt_024a	ljt_024b	0.7508450746536255	0.8735363483428955	-0.9392686995472306	-1.243882417678833	target_fit_not_higher_for_acceptable	no	masked-LM target-fit direction is not as expected; interpret cautiously	inspect manually; BERT-only issue may not require revision	Police put out a warning about the danger.	Police put out a warning but told no one about it.
low	pv_016	take back	ljt_016a	ljt_016b	0.9229133129119873	0.8922700881958008	-0.13068014106875836	-0.7667942047119141	target_fit_not_higher_for_acceptable	no	masked-LM target-fit direction is not as expected; interpret cautiously	inspect manually; BERT-only issue may not require revision	The party took back control of the council.	The party took back control, but its opponent still controlled the council.
low	pv_018	pay off	ljt_018a	ljt_018b	0.8984746932983398	0.9008522033691406	-0.5284964844036579	-4.924959421157837	target_fit_not_higher_for_acceptable	no	masked-LM target-fit direction is not as expected; interpret cautiously	inspect manually; BERT-only issue may not require revision	Her years of practice paid off in the final match.	Her years of practice paid off by making her lose every match.
low	pv_043	rule out	ljt_043a	ljt_043b	0.905170738697052	0.9293802976608276	-0.29114875076338653	-0.3424701690673828	target_fit_not_higher_for_acceptable	no	masked-LM target-fit direction is not as expected; interpret cautiously	inspect manually; BERT-only issue may not require revision	The evidence ruled out a simple explanation.	The evidence ruled out a simple explanation, but that explanation was clearly correct.
low	pv_008	move up	ljt_008a	ljt_008b	0.9215044379234314	0.9496569633483887	0.225139694288373	-0.5858757495880127	target_fit_not_higher_for_acceptable	no	masked-LM target-fit direction is not as expected; interpret cautiously	inspect manually; BERT-only issue may not require revision	She moved up to a senior role last year.	She moved up to a junior role last year.
low	pv_027	break down	ljt_027a	ljt_027b	0.9404863715171814	0.9619314074516296	-0.16976653944437592	-1.3442716598510742	target_fit_not_higher_for_acceptable	no	masked-LM target-fit direction is not as expected; interpret cautiously	inspect manually; BERT-only issue may not require revision	The teacher broke down the task into steps.	The teacher broke down the task into one large step.
low	pv_036	go up	ljt_036a	ljt_036b	0.9930243492126465	0.9966655969619751	0.20628547684755177	-0.2248384952545166	target_fit_not_higher_for_acceptable	no	masked-LM target-fit direction is not as expected; interpret cautiously	inspect manually; BERT-only issue may not require revision	The price went up from five dollars to ten.	The price went up from ten dollars to five.
