ljt_item_id	pv_id	pv	condition	expected_response	sentence_text	target_form	intended_sense	mismatch_type	naturalness_1_4	sense_fit_or_mismatch_1_4	target_sense_clear_1_4	audio_suitability_1_4	reviewer_comments	decision_keep_revise_drop
ljt_001a	pv_001	break off	acceptable	acceptable	After weeks of argument, the union broke off the talks.	broke off	end talks or a relationship	none						
ljt_001b	pv_001	break off	unacceptable	unacceptable	After weeks of argument, the union broke off the sunlight.	broke off	end talks or a relationship	object_semantic_mismatch						
ljt_002a	pv_002	hand over	acceptable	acceptable	The guard handed over the keys to the manager.	handed over	give control or possession to someone	none						
ljt_002b	pv_002	hand over	unacceptable	unacceptable	The guard handed over the weather to the manager.	handed over	give control or possession to someone	object_semantic_mismatch						
ljt_003a	pv_003	give out	acceptable	acceptable	After the long climb, his knees finally gave out.	gave out	stop working properly	none						
ljt_003b	pv_003	give out	unacceptable	unacceptable	After the long climb, his recipe finally gave out.	gave out	stop working properly	subject_semantic_mismatch						
ljt_004a	pv_004	put in	acceptable	acceptable	She put in three hours before the meeting.	put in	devote time or effort	none						
ljt_004b	pv_004	put in	unacceptable	unacceptable	She put in three clouds before the meeting.	put in	devote time or effort	object_semantic_mismatch						
ljt_005a	pv_005	take in	acceptable	acceptable	The lecture was too fast to take in.	take in	understand fully	none						
ljt_005b	pv_005	take in	unacceptable	unacceptable	The doorway was too fast to take in.	take in	understand fully	subject_semantic_mismatch						
ljt_006a	pv_006	sit back	acceptable	acceptable	The mayor sat back while the problem grew.	sat back	take no action	none						
ljt_006b	pv_006	sit back	unacceptable	unacceptable	The mayor sat back and took immediate action.	sat back	take no action	semantic_contradiction						
ljt_007a	pv_007	hold back	acceptable	acceptable	Poor training held back the young players.	held back	prevent progress or potential	none						
ljt_007b	pv_007	hold back	unacceptable	unacceptable	The extra support held back the young players.	held back	prevent progress or potential	context_semantic_mismatch						
ljt_008a	pv_008	move up	acceptable	acceptable	She moved up to a senior role last year.	moved up	advance to a higher position	none						
ljt_008b	pv_008	move up	unacceptable	unacceptable	She moved up to a younger age last year.	moved up	advance to a higher position	complement_semantic_mismatch						
ljt_009a	pv_009	get on	acceptable	acceptable	The tourists got on the bus near the station.	got on	board a vehicle	none						
ljt_009b	pv_009	get on	unacceptable	unacceptable	The tourists got on the coffee near the station.	got on	board a vehicle	object_semantic_mismatch						
ljt_010a	pv_010	come along	acceptable	acceptable	A better chance came along during the project.	came along	appear or arrive	none						
ljt_010b	pv_010	come along	unacceptable	unacceptable	A heavy chair came along during the project.	came along	appear or arrive	subject_semantic_mismatch						
ljt_011a	pv_011	stand out	acceptable	acceptable	Her clear answer stood out in the interview.	stood out	be noticeable or impressive	none						
ljt_011b	pv_011	stand out	unacceptable	unacceptable	Her ordinary answer stood out as the best answer.	stood out	be noticeable or impressive	semantic_contradiction						
ljt_012a	pv_012	pull back	acceptable	acceptable	The company pulled back from the risky plan.	pulled back	withdraw from an activity	none						
ljt_012b	pv_012	pull back	unacceptable	unacceptable	The company pulled back from the finished sandwich.	pulled back	withdraw from an activity	object_semantic_mismatch						
ljt_013a	pv_013	run out	acceptable	acceptable	The office ran out of paper before noon.	ran out	use all of something	none						
ljt_013b	pv_013	run out	unacceptable	unacceptable	The office ran out of silence before noon.	ran out	use all of something	object_semantic_mismatch						
ljt_014a	pv_014	turn over	acceptable	acceptable	The officer turned over the files to the court.	turned over	give control or possession to an authority	none						
ljt_014b	pv_014	turn over	unacceptable	unacceptable	The officer turned over the rain to the court.	turned over	give control or possession to an authority	object_semantic_mismatch						
ljt_015a	pv_015	put on	acceptable	acceptable	The school put on a play for the visitors.	put on	present or stage an event	none						
ljt_015b	pv_015	put on	unacceptable	unacceptable	The school put on a Tuesday for the visitors.	put on	present or stage an event	object_semantic_mismatch						
ljt_016a	pv_016	take back	acceptable	acceptable	The party took back control of the council.	took back	regain control or possession	none						
ljt_016b	pv_016	take back	unacceptable	unacceptable	The party took back tomorrow from the council.	took back	regain control or possession	object_semantic_mismatch						
ljt_017a	pv_017	make out	acceptable	acceptable	I could barely make out the sign in the dark.	make out	see or hear with difficulty	none						
ljt_017b	pv_017	make out	unacceptable	unacceptable	I could barely make out the silence in the dark.	make out	see or hear with difficulty	object_semantic_mismatch						
ljt_018a	pv_018	pay off	acceptable	acceptable	Her years of practice paid off in the final match.	paid off	become successful or beneficial	none						
ljt_018b	pv_018	pay off	unacceptable	unacceptable	Her years of practice paid off by making her fail.	paid off	become successful or beneficial	semantic_contradiction						
ljt_019a	pv_019	get off	acceptable	acceptable	The children got off the train at the last stop.	got off	leave a vehicle	none						
ljt_019b	pv_019	get off	unacceptable	unacceptable	The children got off the soup at the last stop.	got off	leave a vehicle	object_semantic_mismatch						
ljt_020a	pv_020	turn up	acceptable	acceptable	He turned up late for the meeting.	turned up	arrive or appear	none						
ljt_020b	pv_020	turn up	unacceptable	unacceptable	He turned up late by staying home.	turned up	arrive or appear	semantic_contradiction						
ljt_021a	pv_021	get down	acceptable	acceptable	The soldiers got down behind the wall.	got down	lower the body	none						
ljt_021b	pv_021	get down	unacceptable	unacceptable	The soldiers got down by standing taller.	got down	lower the body	semantic_contradiction						
