trial_order	list_id	item_id	target_slot_id	original_pv_id	original_pv	current_target_pv	condition	expected_response	target_form	sentence_text	intended_sense	mismatch_type	source_set	quality_status	review_score_100	revision_priority	pair_rationale	notes
1	B	cljt_033a	cljt_033	pv_033	look out	open up	acceptable	acceptable	opened up	The ruling opened up new appeal options.	make available or possible	none	multi_agent_revision_v1	multi_agent_revision_native_review_required	91	native_review_then_pilot_strong	Both objects are appeal-domain outcomes; options can become available, whereas deadlines are set, extended, or missed rather than opened up.	multi-agent synthesis v1; revises opportunities/objections pair because objections could be caused or invited by a policy; legal appeal frame blocks disclosure/speaking readings.
2	B	cljt_019a	cljt_019	pv_019	get off	get off	acceptable	acceptable	got off	The defendant got off with a warning.	receive no or only light punishment	none	multi_agent_revision_v2	multi_agent_revision_native_review_required	91	native_review_then_pilot_strong	Both complements are legal-outcome nouns; a warning fits the lenient-penalty frame, whereas a conviction is the adverse legal outcome rather than something one gets off with.	multi-agent synthesis v2; replaces transparent leave-vehicle sense with legal leniency sense to improve C1 suitability and suppress transport/literal readings.
3	B	cljt_042a	cljt_042	pv_042	carry out	carry out	acceptable	acceptable	carried out	The researchers carried out the analysis.	conduct or perform a task	none	v6_retained_or_reserve	prelim_pass_native_review_required	100	native_review_then_pilot_strong	Both objects are research-domain nouns; analysis is a task that can be carried out, whereas hypothesis is a proposition to test.	v6 candidate: pre-audio expert review required; do not record yet; Conduct/perform task sense is strong for academic LJT; use plausible wrong task objects.
4	B	cljt_023b	cljt_023	pv_023	bring in	bring in	unacceptable	unacceptable	brought in	The campaign brought in large expenses.	attract or generate income or support	incoming_support_cost_mismatch	multi_agent_revision_v2	multi_agent_revision_native_review_required	92	native_review_then_pilot_strong	Both objects belong to campaign-finance discourse; donations are incoming support that can be brought in, whereas expenses are costs rather than generated income or support.	multi-agent synthesis v2; replaces consultant/consultation role contrast with finance-support sense for stronger C1-level semantic dependency.
5	B	cljt_015b	cljt_015	pv_015	put on	put on	unacceptable	unacceptable	put on	The gallery put on a retrospective catalog.	stage or present an event	staged_event_artifact_mismatch	multi_agent_revision_v2	multi_agent_revision_native_review_required	91	native_review_then_pilot_strong	Both objects belong to the arts-program domain; an exhibition is an event/show a gallery can put on, whereas a catalog is a related artifact normally published or produced.	multi-agent synthesis v2; improves theater/ticket pair by using an arts-institution frame that suppresses clothing and application readings.
6	B	cljt_029a	cljt_029	pv_029	keep up	set off	acceptable	acceptable	set off	The comment set off a heated debate.	cause_event_or_reaction_to_start	none	v2_replacement	minor_revision_needed	88	native_review_then_pilot	Debate and summary are discourse-domain products; only debate is an event/reaction that can be triggered.	replaces pv_029 keep up; candidate_id=rep_028; original_v6_action=replace_or_rewrite; Summary is a document/product cue; consider replacing with dispute in review.
7	B	cljt_034b	cljt_034	pv_034	take out	take out	unacceptable	unacceptable	took out	The landlord took out a flood claim.	obtain an official financial product or service	insurance_product_claim_mismatch	multi_agent_revision_v3	multi_agent_revision_native_review_required	93	native_review_then_pilot_strong	Both objects belong to insurance discourse; a policy is obtained or taken out, whereas a claim is filed or submitted.	multi-agent synthesis v3; replaces mortgage/receipt with tighter insurance-domain collocation and lower literal-removal risk.
8	B	cljt_038a	cljt_038	pv_038	come on	turn down	acceptable	acceptable	turned down	The board turned down the proposal.	refuse_or_reject_offer_request_opportunity	none	v2_replacement	minor_revision_needed	88	native_review_then_pilot	Proposal and evidence are decision-domain objects; evidence is normally excluded or dismissed, not turned down.	replaces pv_038 come on; candidate_id=rep_016; original_v6_action=drop; Check legal/register acceptability of turn down evidence.
9	B	cljt_037a	cljt_037	pv_037	go down	shut down	acceptable	acceptable	shut down	The agency shut down the program.	stop_operating_or_functioning	none	v2_replacement	minor_revision_needed	88	native_review_then_pilot	Program and reason are institutional-domain nouns; only the program is an operation that can be shut down.	replaces pv_037 go down; candidate_id=rep_015; original_v6_action=replace_or_rewrite; Strong candidate; check whether reason is too obviously wrong.
10	B	cljt_024b	cljt_024	pv_024	put out	bring out	unacceptable	unacceptable	brought out	The publisher brought out a revised appointment.	release_to_public	wrong_release_object	v2_replacement	minor_revision_needed	86	native_review_then_pilot	Edition and appointment are publishing/professional-domain nouns; appointment is not released as a publication.	replaces pv_024 put out; candidate_id=rep_009; original_v6_action=replace_or_rewrite; Select release sense only; avoid make-quality-noticeable sense.
11	B	cljt_001b	cljt_001	pv_001	break off	break off	unacceptable	unacceptable	broke off	The union broke off concessions before arbitration.	end negotiations, talks, or a relationship	negotiation_process_term_mismatch	multi_agent_revision_v3	multi_agent_revision_native_review_required	91	native_review_then_pilot_strong	Both objects belong to negotiation discourse; negotiations can be ended, whereas concessions are accepted, offered, or withdrawn rather than broken off in this sense.	multi-agent synthesis v3; improves talks/proposal pair by using negotiations/concessions to reduce alternate readings of breaking off a proposal.
12	B	cljt_041b	cljt_041	pv_041	bring about	bring about	unacceptable	unacceptable	brought about	The ruling brought about a transcript.	cause an event, outcome, or state to happen	caused_outcome_record_mismatch	multi_agent_revision_v3	multi_agent_revision_native_review_required	91	native_review_then_pilot_strong	Both objects are legal-domain nouns; a ruling can cause a retrial, whereas a transcript is produced or prepared rather than brought about as an institutional outcome.	multi-agent synthesis v3; replaces generic reforms/change/evidence pair with a legal-domain event/record contrast.
13	B	cljt_025a	cljt_025	pv_025	clean up	throw out	acceptable	acceptable	threw out	The committee threw out the weak proposal.	reject_or_refuse_to_consider	none	v2_replacement	minor_revision_needed	86	native_review_then_pilot	Proposal and agenda are meeting-domain objects; proposal is rejectable, agenda is normally revised or changed.	replaces pv_025 clean up; candidate_id=rep_010; original_v6_action=replace_or_rewrite; Check whether throw out the agenda can mean discard/cancel agenda.
14	B	cljt_026a	cljt_026	pv_026	set out	set out	acceptable	acceptable	set out	The contract set out the payment terms.	state or present clearly in a document	none	multi_agent_revision_v2	multi_agent_revision_native_review_required	93	native_review_then_pilot_strong	Both objects belong to payment-document discourse; terms are stipulated content a contract can set out, whereas receipts are transaction records rather than rules or conditions.	multi-agent synthesis v2; improves procedure/appendix pair with tighter same-domain payment contrast and low alternate-sense risk.
15	B	cljt_021b	cljt_021	pv_021	get down	pass on	unacceptable	unacceptable	passed on	The director passed on the client's silence.	communicate_or_circulate_information	wrong_information_object	v2_replacement	minor_revision_needed	86	native_review_then_pilot	Message and silence are communication-domain nouns; only a message can normally be passed on.	replaces pv_021 get down; candidate_id=rep_027; original_v6_action=replace_or_rewrite; Silence may be too easy as a non-transferable object; native review needed.
16	B	cljt_032a	cljt_032	pv_032	back up	back up	acceptable	acceptable	backed up	The results backed up the hypothesis.	support with evidence	none	multi_agent_revision_v2	multi_agent_revision_native_review_required	92	native_review_then_pilot_strong	Both objects are research-domain nouns; a hypothesis is a claim that results can support, whereas a questionnaire is an instrument rather than a proposition supported by results.	multi-agent synthesis v2; replaces conclusion/confusion with a tighter research-internal claim/instrument contrast.
17	B	cljt_003b	cljt_003	pv_003	give out	set up	unacceptable	unacceptable	set up	The agency set up a review finding.	establish_create_or_arrange	wrong_created_entity	v2_replacement	production_candidate_after_native_review	90	native_review_then_pilot_strong	Process and finding are review-domain nouns; only the process can naturally be established or arranged.	replaces pv_003 give out; candidate_id=rep_018; original_v6_action=replace_or_rewrite; Check whether set up a finding is impossible for all native reviewers.
18	B	cljt_012a	cljt_012	pv_012	pull back	pull back	acceptable	acceptable	pulled back	The investors pulled back from the funding round.	withdraw from an activity, commitment, or planned action	none	multi_agent_revision_v3	multi_agent_revision_native_review_required	92	native_review_then_pilot_strong	Both complements are finance-deal nouns; a funding round is an activity or commitment investors can withdraw from, whereas a valuation is a metric or assessment.	multi-agent synthesis v3; improves project/approval pair with a tighter finance-deal near-miss.
19	B	cljt_028a	cljt_028	pv_028	reach out	reach out	acceptable	acceptable	reached out	The client reached out for legal advice.	seek help, support, or contact	none	multi_agent_revision_v3	multi_agent_revision_native_review_required	92	native_review_then_pilot_strong	Both complements are legal-information nouns; advice is help or support one seeks by reaching out, whereas evidence is collected or submitted rather than sought through this help-seeking frame.	multi-agent synthesis v3; replaces person/non-person recipient cue with a for-complement help-seeking contrast.
20	B	cljt_010b	cljt_010	pv_010	come along	play out	unacceptable	unacceptable	played out	The verdict played out over two weeks.	develop or unfold over time	event_outcome_unfolding_mismatch	multi_agent_revision_v1	multi_agent_revision_native_review_required	92	native_review_then_pilot_strong	Both nouns are legal-domain items; a trial unfolds over time, whereas a verdict is an outcome rather than the unfolding event.	multi-agent synthesis v1; revises earlier negotiations/agreement pair because agreement could plausibly play out in public; legal time-frame suppresses exhausted/literal readings.
21	B	cljt_044a	cljt_044	pv_044	point out	bring down	acceptable	acceptable	brought down	The scandal brought down the minister.	cause someone to lose power or position	none	multi_agent_revision_v2	multi_agent_revision_native_review_required	90	native_review_then_pilot_strong	Both objects belong to political-news discourse; a minister is a status holder who can be forced from office, whereas a briefing is an event or information session, not someone in power.	multi-agent synthesis v2; replaces point out because the information-object frame accepts too many possible complements and is difficult to make selectively unacceptable.
22	B	cljt_004b	cljt_004	pv_004	put in	take up	unacceptable	unacceptable	took up	The committee took up the funding outcome.	discuss_or_deal_with_issue	wrong_discussion_object	v2_replacement	minor_revision_needed	88	native_review_then_pilot	Issue and outcome are same institutional domain; outcome is less naturally taken up as an agenda item.	replaces pv_004 put in; candidate_id=rep_002; original_v6_action=replace_or_rewrite; Check whether take up the outcome is acceptable as discuss outcome.
23	B	cljt_020b	cljt_020	pv_020	turn up	break out	unacceptable	unacceptable	broke out	A settlement broke out during mediation.	start suddenly, especially an undesirable event	sudden_event_positive_resolution_mismatch	multi_agent_revision_v3	multi_agent_revision_native_review_required	91	native_review_then_pilot_strong	Both subjects are mediation-domain outcomes or events; a dispute can start suddenly, whereas a settlement is reached or announced rather than breaking out.	multi-agent synthesis v3; replaces turn up because arrival/appearance sense is transparent and competes with increase/found readings.
24	B	cljt_002a	cljt_002	pv_002	hand over	hand over	acceptable	acceptable	handed over	The agency handed over the investigation to prosecutors.	transfer control, responsibility, or possession to another authority	none	multi_agent_revision_v3	multi_agent_revision_native_review_required	90	native_review_then_pilot_strong	Both complements are legal-domain items; an investigation can be transferred as responsibility, whereas a verdict is an outcome delivered by a court, not handed over to prosecutors.	multi-agent synthesis v3; moves from prisoner/arrest to investigation/verdict to reduce animacy and custody-specific cueing.
25	B	cljt_006b	cljt_006	pv_006	sit back	take on	unacceptable	unacceptable	took on	The lawyer took on the difficult verdict.	undertake_role_task_or_responsibility	wrong_responsibility_object	v2_replacement	production_candidate_after_native_review	90	native_review_then_pilot_strong	Case and verdict are legal-domain nouns; only the case is a responsibility one can undertake.	replaces pv_006 sit back; candidate_id=rep_019; original_v6_action=replace_or_rewrite; Strong candidate, but verify that verdict is not interpretable as a challenge.
26	B	cljt_005b	cljt_005	pv_005	take in	put off	unacceptable	unacceptable	put off	The board put off the final evidence.	delay_until_later	wrong_delay_object	v2_replacement	minor_revision_needed	88	native_review_then_pilot	Vote and evidence are decision-domain objects; only the vote is naturally schedulable for delay.	replaces pv_005 take in; candidate_id=rep_030; original_v6_action=replace_or_rewrite; Evidence can be excluded or withheld, but not normally put off.
27	B	cljt_009a	cljt_009	pv_009	get on	get on	acceptable	acceptable	got on	The researchers got on with the analysis.	continue or proceed with a task	none	multi_agent_revision_v2	multi_agent_revision_native_review_required	90	native_review_then_pilot_strong	Both complements are research-domain nouns; analysis is a process one can proceed with, whereas a finding is an outcome rather than a task to get on with.	multi-agent synthesis v2; replaces transparent transport boarding sense with get-on-with task-continuation sense to improve C1 construct fit while retaining the original PV.
28	B	cljt_018b	cljt_018	pv_018	pay off	pay off	unacceptable	unacceptable	paid off	The firm paid off the forecast after restructuring.	settle or finish paying a debt or obligation	payable_obligation_forecast_mismatch	multi_agent_revision_v3	multi_agent_revision_native_review_required	92	native_review_then_pilot_strong	Both objects are finance-domain nouns; a loan is a payable obligation, whereas a forecast is an estimate and cannot be paid off.	multi-agent synthesis v3; retargets pay off from broad beneficial-success sense to debt-settlement sense for clearer C1 lexical-semantic dependency.
29	B	cljt_027b	cljt_027	pv_027	break down	break down	unacceptable	unacceptable	broke down	The manager broke down the project deadline.	divide into parts or analyze in detail	decomposable_object_mismatch	multi_agent_revision_v2	multi_agent_revision_native_review_required	91	native_review_then_pilot_strong	Both objects are project-management nouns; a budget can be itemized or analyzed into parts, whereas a deadline is a time point rather than a decomposable object in this frame.	multi-agent synthesis v2; keeps original PV but replaces sports play/whistle with a stronger project-management near-miss.
30	B	cljt_048a	cljt_048	pv_048	work out	work out	acceptable	acceptable	worked out	The students worked out the equation.	find or calculate a solution	none	v6_retained_or_reserve	prelim_pass_native_review_required	85	native_review_then_pilot	Both objects are classroom-domain nouns; equation is a problem that can be solved, whereas pencil is not.	v6 candidate: pre-audio expert review required; do not record yet; Solution/calculation sense is strong if both conditions involve problems or quantities.
31	B	cljt_030a	cljt_030	pv_030	put up	put up	acceptable	acceptable	put up	The bidder put up the required deposit.	provide money or security for a purpose	none	multi_agent_revision_v1	multi_agent_revision_native_review_required	90	native_review_then_pilot_strong	Both objects are procurement-domain requirements; a deposit can be put up as security, whereas an estimate is submitted or provided rather than put up in this sense.	multi-agent synthesis v1; replaces banner/brochure display pair because put up a brochure is plausibly acceptable; security-money sense improves C1 construct fit.
32	B	cljt_013b	cljt_013	pv_013	run out	run out	unacceptable	unacceptable	ran out	The inspection ran out during the audit.	expire or cease to be valid	expiry_object_mismatch	multi_agent_revision_v3	multi_agent_revision_native_review_required	91	native_review_then_pilot_strong	Both subjects are regulatory-domain nouns; a permit can expire, whereas an inspection is conducted or completed rather than running out in this validity sense.	multi-agent synthesis v3; retargets run out from resource depletion to expiry to reduce obvious stock/resource cueing.
33	B	cljt_007b	cljt_007	pv_007	hold back	give in	unacceptable	unacceptable	gave in	The company gave in to public policy.	yield_to_demands_or_pressure	wrong_pressure_source	v2_replacement	minor_revision_needed	86	native_review_then_pilot	Pressure and policy are public-domain nouns; pressure can force yielding, policy normally cannot.	replaces pv_007 hold back; candidate_id=rep_005; original_v6_action=replace_or_rewrite; May be a comparatively easy anchor item for C1.
34	B	cljt_011b	cljt_011	pv_011	stand out	stand out	unacceptable	unacceptable	stood out	One bid stood out among invoices.	be noticeably different or better within a comparison set	comparison_set_mismatch	multi_agent_revision_v3	multi_agent_revision_native_review_required	90	native_review_then_pilot_strong	Bids, tenders, and invoices are procurement-domain documents, but tenders form the relevant comparison set for a bid, whereas invoices do not.	multi-agent synthesis v3; improves essay/pages by using a same-domain procurement comparison set.
