draft_pair_id	candidate_id	replaced_pv_id	replaced_pv	pv	condition	expected_response	target_form	sentence_text	intended_sense	mismatch_type	pair_rationale	self_review_score_100	status	risk_note
draft_001	rep_001	pv_003	give out	turn out	acceptable	acceptable	turned out	The forecast turned out to be accurate.	prove_or_be_discovered_to_be	none	Forecast and evidence are both information-domain nouns, but the unacceptable item may still permit a legal/evidential reading.	76	major_revision_needed	Alternate identity reading remains possible.
draft_001	rep_001	pv_003	give out	turn out	unacceptable	unacceptable	turned out	The forecast turned out to be evidence.	prove_or_be_discovered_to_be	invalid_complement_for_target_sense	Forecast and evidence are both information-domain nouns, but the unacceptable item may still permit a legal/evidential reading.	76	major_revision_needed	Alternate identity reading remains possible.
draft_002	rep_002	pv_004	put in	take up	acceptable	acceptable	took up	The committee took up the funding issue.	discuss_or_deal_with_issue	none	Issue and outcome are same institutional domain; outcome is not normally something a committee takes up for discussion.	88	minor_revision_needed	Check whether take up the outcome is acceptable as discuss outcome.
draft_002	rep_002	pv_004	put in	take up	unacceptable	unacceptable	took up	The committee took up the funding outcome.	discuss_or_deal_with_issue	wrong_discussion_object	Issue and outcome are same institutional domain; outcome is not normally something a committee takes up for discussion.	88	minor_revision_needed	Check whether take up the outcome is acceptable as discuss outcome.
draft_003	rep_003	pv_005	take in	figure out	acceptable	acceptable	figured out	The team figured out the calculation error.	determine_or_understand	none	Both items are calculation-domain objects, but the unacceptable object may be rejected from broad object type rather than PV sense.	72	replace_or_major_revision	Folder is probably too concrete and may recreate the v5 noun-category problem.
draft_003	rep_003	pv_005	take in	figure out	unacceptable	unacceptable	figured out	The team figured out the calculation folder.	determine_or_understand	wrong_problem_object	Both items are calculation-domain objects, but the unacceptable object may be rejected from broad object type rather than PV sense.	72	replace_or_major_revision	Folder is probably too concrete and may recreate the v5 noun-category problem.
draft_004	rep_004	pv_006	sit back	step back	acceptable	acceptable	stepped back	The judge stepped back from the dispute.	temporarily_disengage_to_view_objectively	none	Dispute and verdict are legal-domain nouns; verdict may still allow a figurative distancing reading.	78	major_revision_needed	Needs native review for step back from the verdict.
draft_004	rep_004	pv_006	sit back	step back	unacceptable	unacceptable	stepped back	The judge stepped back from the verdict.	temporarily_disengage_to_view_objectively	wrong_abstract_complement	Dispute and verdict are legal-domain nouns; verdict may still allow a figurative distancing reading.	78	major_revision_needed	Needs native review for step back from the verdict.
draft_005	rep_005	pv_007	hold back	give in	acceptable	acceptable	gave in	The union gave in to the pressure.	yield_to_demands_or_pressure	none	Pressure and report are organizational-domain triggers; report is not a demand or pressure source.	84	minor_revision_needed	May be too easy for C1; could be an anchor item.
draft_005	rep_005	pv_007	hold back	give in	unacceptable	unacceptable	gave in	The union gave in to the report.	yield_to_demands_or_pressure	wrong_pressure_source	Pressure and report are organizational-domain triggers; report is not a demand or pressure source.	84	minor_revision_needed	May be too easy for C1; could be an anchor item.
draft_006	rep_006	pv_010	come along	play out	acceptable	acceptable	played out	The negotiations played out in public.	develop_or_unfold	none	Negotiations and documents are institutional-domain subjects, but the unacceptable relies partly on event-vs-document subject type.	82	major_revision_needed	Subject-category cue remains noticeable.
draft_006	rep_006	pv_010	come along	play out	unacceptable	unacceptable	played out	The documents played out in public.	develop_or_unfold	wrong_event_subject	Negotiations and documents are institutional-domain subjects, but the unacceptable relies partly on event-vs-document subject type.	82	major_revision_needed	Subject-category cue remains noticeable.
draft_007	rep_007	pv_017	make out	sort out	acceptable	acceptable	sorted out	The team sorted out the scheduling conflict.	resolve_problem_or_understand_cause	none	Conflict and forecast are scheduling-domain nouns; forecast is not normally solved or resolved.	84	minor_revision_needed	Clarify whether target sense is resolve problem or understand cause.
