item_id	target_slot_id	original_pv_id	original_pv	current_target_pv	condition	expected_response	target_form	sentence_text	intended_sense	mismatch_type	source_set	source_material	source_item_or_pair_id	candidate_id	quality_status	review_score_100	score_basis	revision_priority	pair_rationale	notes
cljt_001a	cljt_001	pv_001	break off	break off	acceptable	acceptable	broke off	The union broke off the talks.	end talks or a relationship	none	v6_retained_or_reserve	Sonbul_ElDakhs_2024_supplement	ljt_001a		prelim_pass_native_review_required	80	derived_from_v6_pre_audio_audit_using_c_level_rubric_weights	minor_revision_before_pilot	Both objects belong to negotiation contexts; the unacceptable item targets the fact that break off selects talks or relations, not a proposal itself.	v6 candidate: pre-audio expert review required; do not record yet; Use negotiation/relationship contexts; avoid object-category anomalies such as agenda.
cljt_001b	cljt_001	pv_001	break off	break off	unacceptable	unacceptable	broke off	The union broke off the proposal.	end talks or a relationship	same_domain_collocation_mismatch	v6_retained_or_reserve	Sonbul_ElDakhs_2024_supplement	ljt_001b		prelim_pass_native_review_required	80	derived_from_v6_pre_audio_audit_using_c_level_rubric_weights	minor_revision_before_pilot	Both objects belong to negotiation contexts; the unacceptable item targets the fact that break off selects talks or relations, not a proposal itself.	v6 candidate: pre-audio expert review required; do not record yet; Use negotiation/relationship contexts; avoid object-category anomalies such as agenda.
cljt_002a	cljt_002	pv_002	hand over	hand over	acceptable	acceptable	handed over	The guard handed over the prisoner.	give control or possession to someone	none	v6_retained_or_reserve	Sonbul_ElDakhs_2024_supplement	ljt_002a		prelim_pass_native_review_required	80	derived_from_v6_pre_audio_audit_using_c_level_rubric_weights	minor_revision_before_pilot	Both objects are legal-domain nouns; the unacceptable item keeps the domain but uses an event noun that cannot be handed over as custody or control.	v6 candidate: pre-audio expert review required; do not record yet; Use possession/control-transfer contexts with plausible entities; avoid non-transferable abstractions.
cljt_002b	cljt_002	pv_002	hand over	hand over	unacceptable	unacceptable	handed over	The guard handed over the arrest.	give control or possession to someone	same_domain_object_mismatch	v6_retained_or_reserve	Sonbul_ElDakhs_2024_supplement	ljt_002b		prelim_pass_native_review_required	80	derived_from_v6_pre_audio_audit_using_c_level_rubric_weights	minor_revision_before_pilot	Both objects are legal-domain nouns; the unacceptable item keeps the domain but uses an event noun that cannot be handed over as custody or control.	v6 candidate: pre-audio expert review required; do not record yet; Use possession/control-transfer contexts with plausible entities; avoid non-transferable abstractions.
cljt_003a	cljt_003	pv_003	give out	set up	acceptable	acceptable	set up	The agency set up a review process.	establish_create_or_arrange	none	v2_replacement	PHaVE	v2_001	rep_018	production_candidate_after_native_review	90	self_review_against_c_level_rubric_v2	native_review_then_pilot_strong	Process and finding are review-domain nouns; only the process can naturally be established or arranged.	replaces pv_003 give out; candidate_id=rep_018; original_v6_action=replace_or_rewrite; Check whether set up a finding is impossible for all native reviewers.
cljt_003b	cljt_003	pv_003	give out	set up	unacceptable	unacceptable	set up	The agency set up a review finding.	establish_create_or_arrange	wrong_created_entity	v2_replacement	PHaVE	v2_001	rep_018	production_candidate_after_native_review	90	self_review_against_c_level_rubric_v2	native_review_then_pilot_strong	Process and finding are review-domain nouns; only the process can naturally be established or arranged.	replaces pv_003 give out; candidate_id=rep_018; original_v6_action=replace_or_rewrite; Check whether set up a finding is impossible for all native reviewers.
cljt_004a	cljt_004	pv_004	put in	take up	acceptable	acceptable	took up	The committee took up the funding issue.	discuss_or_deal_with_issue	none	v2_replacement	PHaVE	v2_002	rep_002	minor_revision_needed	88	self_review_against_c_level_rubric_v2	native_review_then_pilot	Issue and outcome are same institutional domain; outcome is less naturally taken up as an agenda item.	replaces pv_004 put in; candidate_id=rep_002; original_v6_action=replace_or_rewrite; Check whether take up the outcome is acceptable as discuss outcome.
cljt_004b	cljt_004	pv_004	put in	take up	unacceptable	unacceptable	took up	The committee took up the funding outcome.	discuss_or_deal_with_issue	wrong_discussion_object	v2_replacement	PHaVE	v2_002	rep_002	minor_revision_needed	88	self_review_against_c_level_rubric_v2	native_review_then_pilot	Issue and outcome are same institutional domain; outcome is less naturally taken up as an agenda item.	replaces pv_004 put in; candidate_id=rep_002; original_v6_action=replace_or_rewrite; Check whether take up the outcome is acceptable as discuss outcome.
cljt_005a	cljt_005	pv_005	take in	put off	acceptable	acceptable	put off	The board put off the final vote.	delay_until_later	none	v2_replacement	PHaVE	v2_003	rep_030	minor_revision_needed	88	self_review_against_c_level_rubric_v2	native_review_then_pilot	Vote and evidence are decision-domain objects; only the vote is naturally schedulable for delay.	replaces pv_005 take in; candidate_id=rep_030; original_v6_action=replace_or_rewrite; Evidence can be excluded or withheld, but not normally put off.
cljt_005b	cljt_005	pv_005	take in	put off	unacceptable	unacceptable	put off	The board put off the final evidence.	delay_until_later	wrong_delay_object	v2_replacement	PHaVE	v2_003	rep_030	minor_revision_needed	88	self_review_against_c_level_rubric_v2	native_review_then_pilot	Vote and evidence are decision-domain objects; only the vote is naturally schedulable for delay.	replaces pv_005 take in; candidate_id=rep_030; original_v6_action=replace_or_rewrite; Evidence can be excluded or withheld, but not normally put off.
